,目次,聲,等,呼,韻部,調,攝,反切,寬式中古擬音,廣通中古拼音,推導南京音,字,修改避重複音,改後擬音,改後拼音,小韻字數,平水韻目,訛字
2422,去14泰,見,一,開,泰,去,蟹,古太,kaj˧˩ 'h,kàj,gä4,蓋匃丐鈣,,kaj˧˩ 'h,kàj,3,泰,
2531,去19代,見,一,開,咍,去,蟹,古代,kɒi˧˩ 'h,kö̀i,gä4,漑(溉)槩(槪概)摡𠌰㧉㕢,,kɒi˧˩ 'h,kö̀i,6,隊,
4015,去19代,群,一,開,咍,去,蟹,渠蓋,gɒi˧˩ 'h,gö̀i,gä4,戤,,gɒi˧˩ 'h,gö̀i,0,隊,
3739,入25德,見,一,開,登,入,曾,古得,kək˥,këk,gä5,裓𢧧孂,,kək˥,këk,3,職,
3616,入20陌,見,二,開,庚,入,梗,古伯,kʅæk˥,kräk,gä5,格𢓜茖骼觡𩹺鵅挌㦴(㪾)蛒𪌣𢼛𩹿鉻,,kʅæk˥,kräk,14,陌,
3636,入21麥,見,二,開,耕,入,梗,古核,kʅɛk˥,krek,gä5,隔膈搹鬲槅革𥴩𢡍諽䪂𧈑䨣𥉅𦑜𩹺嗝,,kʅɛk˥,krek,16,陌,
503,上平24痕,見,一,開,痕,平,臻,古痕,kon˧˧,kon,gen1,根跟珢𣥦,,kon˧˧,kon,4,元,
861,下平12庚,見,二,開,庚,平,梗,古行,kʅæŋ˧˧,kräng,gen1,庚鶊更䢚秔稉粳賡羹𩱧埂浭,,kʅæŋ˧˧,kräng,12,庚,
889,下平13耕,見,二,開,耕,平,梗,古莖,kʅɛŋ˧˧,kreng,gen1,耕,,kʅɛŋ˧˧,kreng,1,庚,
983,下平17登,見,一,開,登,平,曾,古恒,kəŋ˧˧,këng,gen1,搄縆絙,,kəŋ˧˧,këng,3,蒸,
1855,上38梗,見,二,開,庚,上,梗,古杏,kʅæŋ˨˦ 'x,krä́ng,gen3,梗挭哽郠綆鯁埂骾𧋑,,kʅæŋ˨˦ 'x,krä́ng,9,梗,
1877,上39耿,見,二,開,耕,上,梗,古幸,kʅɛŋ˨˦ 'x,kréng,gen3,耿𦵸𥉔,,kʅɛŋ˨˦ 'x,kréng,3,梗,
1549,上22很,見,一,開,痕,上,臻,古很,kon˨˦ 'x,kón,gen3,䫀詪,,kon˨˦ 'x,kón,2,阮,
3021,去48嶝,見,一,開,登,去,曾,古鄧,kəŋ˧˩ 'h,kë̀ng,gen4,亘(亙)堩揯縆䱎𥔂,,kəŋ˧˩ 'h,kë̀ng,6,徑,
2948,去43映,見,二,開,庚,去,梗,古孟,kʅæŋ˧˩ 'h,krä̀ng,gen4,更,,kʅæŋ˧˩ 'h,krä̀ng,1,敬,
2629,去27恨,見,一,開,痕,去,臻,古恨,kon˧˩ 'h,kòn,gen4,艮茛珢詪,,kon˧˩ 'h,kòn,4,願,
725,下平7歌,見,一,開,歌,平,果,古俄,kɒ˧˧,kö,go1,歌謌柯妿㤎滒鴚菏牁戕哥,,kɒ˧˧,kö,11,歌,
739,下平8戈,見,一,合,戈,平,果,古禾,kuɒ˧˧,kuö,go1,戈過渦鍋𨍋楇瘑㽿𩰫𩰬㗻緺𧒖𩾷堝蝸,,kuɒ˧˧,kuö,15,歌,
1731,上33哿,見,一,開,歌,上,果,古我,kɒ˨˦ 'x,kö́,go3,哿舸笴𥰮,,kɒ˨˦ 'x,kö́,4,哿,
1745,上34果,見,一,合,戈,上,果,古火,kuɒ˨˦ 'x,kuö́,go3,果菓猓輠鐹划裹蜾惈䴹粿錁餜,,kuɒ˨˦ 'x,kuö́,11,哿,
2823,去38箇,見,一,開,歌,去,果,古賀,kɒ˧˩ 'h,kö̀,go4,箇个個,,kɒ˧˩ 'h,kö̀,3,箇,
2835,去39過,見,一,合,戈,去,果,古卧,kuɒ˧˩ 'h,kuö̀,go4,過裹划鐹𧒖𩟂㳀騍,,kuɒ˧˩ 'h,kuö̀,7,箇,
3774,入27合,見,一,開,覃,入,咸,古沓,kɒp˥,köp,go5,鴿閤合㪉鉿鮯蛤郃浩匌頜佮㧁𣭝㭘㠷鞈韐𢂷,,kɒp˥,köp,19,合,
3799,入28盍,見,一,開,談,入,咸,古盍,kap˥,kap,go5,䫦𧪞嗑蓋閘鉀䗘𨜴,,kap˥,kap,8,合,
3803,入28盍,見,一,開,談,入,咸,居盍,kap˥,kap,go5,砝𪁍,改群母 局盍切,gap˥,gap,2,合,
3400,入12曷,見,一,開,寒,入,山,古達,kat˥,kat,go5,葛䈓獦割𩢛匃(丐)輵𨞛𥢸㵧,,kat˥,kat,10,曷,
3574,入19鐸,見,一,開,唐,入,宕,古落,kak˥,kak,go5,各閣格胳袼擱,,kak˥,kak,5,藥,
39,上平2冬,見,一,開,冬,平,通,古冬,koŋ˧˧,kong,gong1,攻釭,,koŋ˧˧,kong,2,冬,
65,上平3鍾,見,三,開,鍾,平,通,九容,kɨoŋ˧˧,kyong,gong1,恭龔供珙共廾䢼𤱨髸䳍,,kɨoŋ˧˧,kyong,10,冬,
10,上平1東,見,三,開,東,平,通,居戎,kɨuŋ˧˧,kyung,gong1,弓躳躬㴦宮匑,,kɨuŋ˧˧,kyung,6,東,
22,上平1東,見,一,開,東,平,通,古紅,kuŋ˧˧,kung,gong1,公功工疘蚣玒㓚釭魟攻愩碽篢,,kuŋ˧˧,kung,13,東,
978,下平17登,見,一,合,登,平,曾,古弘,kuəŋ˧˧,kuëng,gong1,肱𩉦,,kuəŋ˧˧,kuëng,2,蒸,
1183,上2腫,見,三,開,鍾,上,通,居悚,kɨoŋ˨˦ 'x,kyóng,gong3,拱拲䂬鞏蛬孓珙廾𢪒㤨𢸁㼦㧬䡗䱋栱輁巩,,kɨoŋ˨˦ 'x,kyóng,18,腫,
2127,去3用,群,三,開,鍾,去,通,渠用,gɨoŋ˧˩ 'h,gyòng,gong4,共,,gɨoŋ˧˩ 'h,gyòng,1,宋,
2129,去3用,見,三,開,鍾,去,通,居用,kɨoŋ˧˩ 'h,kyòng,gong4,供龏,,kɨoŋ˧˩ 'h,kyòng,2,宋,
1189,上2腫,群,三,開,鍾,上,通,渠隴,gɨoŋ˨˦ 'x,gyóng,gong4,䅃,,gɨoŋ˨˦ 'x,gyóng,1,腫,
2094,去1送,見,一,開,東,去,通,古送,kuŋ˧˩ 'h,kùng,gong4,貢贛𣹟虹羾𨹁䇨㔶㯯𧆐,,kuŋ˧˩ 'h,kùng,10,送,
1028,下平19侯,見,一,開,侯,平,流,古侯,ku˧˧,ku,gou1,鉤𠛎溝褠韝緱篝𥴴𪓟㗕𤫱䑦冓枸句軥夠鴝鞲勾,,ku˧˧,ku,18,尤,
1960,上45厚,見,一,開,侯,上,流,古厚,ku˨˦ 'x,kú,gou3,苟玽狗垢笱𦊒耇詬枸茩岣敂豿,,ku˨˦ 'x,kú,13,有,
3072,去50候,見,一,開,侯,去,流,古候,ku˧˩ 'h,kù,gou4,購遘構媾覯姤䝭雊彀𢐙𤚼句軥㝤搆怐煹䃓冓㝅𢄇,,ku˧˩ 'h,kù,20,宥,
281,上平11模,見,一,開,模,平,遇,古胡,ko˧˧,ko,gu1,孤苽菰胍𡗷姑辜呱泒酤觚蛄箛鴣橭𠷞沽柧𨬕䉉𧇡盬嫴罛軱箍䐻㼋菇咕,,ko˧˧,ko,28,虞,
1380,上10姥,見,一,開,模,上,遇,公戸,ko˨˦ 'x,kó,gu3,古皷鼓(鼔)瞽股𦙶罟蠱估盬鈷羖𦍩詁牯賈夃沽焸𠒂𥂩,,ko˨˦ 'x,kó,21,麌,
2347,去11暮,見,一,開,模,去,遇,古暮,ko˧˩ 'h,kò,gu4,顧頋雇稒故酤沽痼固錮鯝㽽䍛棝凅,,ko˧˩ 'h,kò,15,遇,
3183,入1屋,見,一,開,東,入,通,古禄,kuk˥,kuk,gu5,穀糓轂榖濲谷瑴𪇗𣨍𪕸𧣡䐨𤞞𥆌䀰唂,,kuk˥,kuk,17,屋,䜼(名祿切非古祿切)
3372,入11沒,見,一,合,魂,入,臻,古忽,kuot˥,kuot,gu5,骨縎鶻滑䮩啒淈汩愲蓇尳㾶榾䓛扢㒴,,kuot˥,kuot,16,月,
3234,入2沃,見,一,開,冬,入,通,古沃,kok˥,kok,gu5,梏牿䧼䅵告郜祰䧊䶜,,kok˥,kok,9,沃,
326,上平13佳,見,二,合,佳,平,蟹,古蛙,kʯɛ˧˧,kwe,gua1,媧緺蝸𧬭腡騧歄,,kʯɛ˧˧,kwe,7,佳,
774,下平9麻,見,二,合,麻,平,假,古華,kʯa˧˧,kwa,gua1,瓜騧緺蝸媧婐㧓,,kʯa˧˧,kwa,7,麻,
1419,上12蟹,見,二,合,佳,上,蟹,乖買,kʯɛ˨˦ 'x,kwé,gua3,𠁥柺𡐠拐,,kʯɛ˨˦ 'x,kwé,3,蟹,
1785,上35馬,見,二,合,麻,上,假,古瓦,kʯa˨˦ 'x,kwá,gua3,寡冎剮𣑍𠊰𠁥䈑𥦛𨀩,,kʯa˨˦ 'x,kwá,8,馬,
2452,去15卦,見,二,合,佳,去,蟹,古賣,kʯɛ˧˩ 'h,kwè,gua4,卦挂掛詿罣𡐠褂,,kʯɛ˧˩ 'h,kwè,6,卦,
2887,去40禡,見,二,合,麻,去,假,古罵,kʯa˧˩ 'h,kwà,gua4,坬𧬮,,kʯa˧˩ 'h,kwà,2,禡,
3433,入14黠,見,二,合,山,入,山,古滑,kʯæt˥,kwät,gua5,劀𠟽鱊,,kʯæt˥,kwät,3,黠,
3451,入15鎋,見,二,合,刪,入,山,古䫄,kʯat˥,kwat,gua5,刮鴰劀䄆趏,,kʯat˥,kwat,5,黠,
540,上平27刪,見,二,合,刪,平,山,古還,kʯan˧˧,kwan,guang1,關関癏擐𠴨𢇇,,kʯan˧˧,kwan,6,刪,
555,上平28山,見,二,合,山,平,山,古頑,kʯæn˧˧,kwän,guang1,鰥綸䤽,,kʯæn˧˧,kwän,3,刪,
530,上平26桓,見,一,合,桓,平,山,古丸,kuan˧˧,kuan,guang1,官悹莞棺觀貫冠涫倌毌,,kuan˧˧,kuan,10,寒,
846,下平11唐,見,一,合,唐,平,宕,古黃,kuaŋ˧˧,kuang,guang1,光灮洸桄胱垙𨎩輄橫𩧉恍茪僙侊,,kuaŋ˧˧,kuang,14,陽,
1566,上24緩,見,一,合,桓,上,山,古滿,kuan˨˦ 'x,kuán,guang3,管筦脘輨盥琯痯悹䩪錧䗆䘾,,kuan˨˦ 'x,kuán,12,旱,
1816,上36養,見,三,合,陽,上,宕,居往,kʉaŋ˨˦ 'x,küáng,guang3,獷,改溪母 苦往切,kʰʉaŋ˨˦ 'x,khüáng,1,養,
1829,上36養,見,三,合,陽,上,宕,俱往,kʉaŋ˨˦ 'x,küáng,guang3,臩迋𠏤逛,,kʉaŋ˨˦ 'x,küáng,4,養,
1834,上37蕩,見,一,合,唐,上,宕,古晃,kuaŋ˨˦ 'x,kuáng,guang3,廣鄺,,kuaŋ˨˦ 'x,kuáng,2,養,
2914,去41漾,見,三,合,陽,去,宕,居況,kʉaŋ˧˩ 'h,küàng,guang4,誑㤮𠉫臦,,kʉaŋ˧˩ 'h,küàng,4,漾,
2921,去41漾,群,三,合,陽,去,宕,渠放,gʉaŋ˧˩ 'h,güàng,guang4,狂誆,,gʉaŋ˧˩ 'h,güàng,2,漾,
2939,去42宕,見,一,合,唐,去,宕,古曠,kuaŋ˧˩ 'h,kuàng,guang4,桄光,,kuaŋ˧˩ 'h,kuàng,2,漾,
2650,去29換,見,一,合,桓,去,山,古玩,kuan˧˩ 'h,kuàn,guang4,貫矔祼館(舘)瓘鑵𤼐痯灌雚鸛樌鏆㷄懽錧爟遦冠觀涫悹悺盥棺毌婠䘾鱹綰䗰罐莞巏𨝑𥆗雚,,kuan˧˩ 'h,kuàn,28,翰,
2674,去30諫,見,二,合,刪,去,山,古患,kʯan˧˩ 'h,kwàn,guang4,慣丱摜倌串矔,,kʯan˧˩ 'h,kwàn,6,諫,
2691,去31襇,見,二,合,山,去,山,古幻,kʯæn˧˩ 'h,kwä̀n,guang4,鰥,,kʯæn˧˩ 'h,kwä̀n,1,諫,
1828,上36養,群,三,合,陽,上,宕,求往,gʉaŋ˨˦ 'x,güáng,guang4,俇,,gʉaŋ˨˦ 'x,güáng,1,養,
344,上平14皆,見,二,合,皆,平,蟹,古懷,kʯæi˧˧,kwäi,guä1,乖𦮃𠦬㾩𦫳,,kʯæi˧˧,kwäi,4,佳,
2470,去16怪,見,二,合,皆,去,蟹,古壞,kʯæi˧˩ 'h,kwä̀i,guä4,怪壞恠𥑋𦳋𣀤𡌪㧔,,kʯæi˧˩ 'h,kwä̀i,8,卦,
2489,去17夬,見,二,合,夬,去,蟹,古邁,kʯaj˧˩ 'h,kwàj,guä4,夬獪䈛,,kʯaj˧˩ 'h,kwàj,3,卦,
3410,入13末,見,一,合,桓,入,山,古活,kuat˥,kuat,guä5,括活𣽅髺檜栝聒䒷𦸈鴰萿适銛佸頢劊葀䯏懖𦗾筈,,kuat˥,kuat,21,曷,
3735,入25德,見,一,合,登,入,曾,古或,kuək˥,kuëk,guä5,國蟈膕馘,,kuək˥,kuëk,1,職,
3587,入19鐸,見,一,合,唐,入,宕,古博,kuak˥,kuak,guä5,郭𩫏𨟍崞椁槨彉彍埻𦘅,,kuak˥,kuak,10,藥,
3619,入20陌,見,二,合,庚,入,梗,古伯,kʯæk˥,kwäk,guä5,虢𢼛㶁𧭣唬,,kʯæk˥,kwäk,5,陌,
3626,入21麥,見,二,合,耕,入,梗,古獲,kʯɛk˥,kwek,guä5,蟈馘聝幗膕𩪐埻摑漍𢹖䂸慖嘓䬎讗𧖻,,kʯɛk˥,kwek,16,陌,
3645,入21麥,群,二,合,耕,入,梗,求獲,gʯɛk˥,gwek,guä5,𧾛,,gʯɛk˥,gwek,1,陌,
224,上平8微,見,三,合,微,平,止,舉韋,kʉəi˧˧,küëi,guei1,歸㱕騩皈,,kʉəi˧˧,küëi,3,微,
90,上平5支,見,三,合,支B,平,止,居爲,kʉɪ˧˧,küï,guei1,嬀(媯)潙(溈),,kʉɪ˧˧,küï,2,支,
134,上平5支,見,三,合,支A,平,止,居隋,kyɪ˧˧,kvï,guei1,規𩓸𩓡槻鬹𨾚摫,,kyɪ˧˧,kvï,7,支,
163,上平6脂,見,三,合,脂B,平,止,居追,kʉi˧˧,küi,guei1,龜𪚦𤕣䟸螝騩頄鱖,,kʉi˧˧,küi,6,支,
369,上平15灰,見,一,合,灰,平,蟹,公回,kuɒi˧˧,kuöi,guei1,傀𤪿𠐤瑰瓌鞼櫰膭䐩䕇,,kuɒi˧˧,kuöi,10,灰,
316,上平12齊,見,四,合,齊,平,蟹,古攜,kyɛi˧˧,kvei,guei1,圭珪邽閨袿窐鮭𪊧洼𨾴𡌲胿𦓯㰪茥,,kyɛi˧˧,kvei,15,齊,
1318,上7尾,見,三,合,微,上,止,居偉,kʉəi˨˦ 'x,küë́i,guei3,鬼,,kʉəi˨˦ 'x,küë́i,1,尾,
1208,上4紙,見,三,合,支B,上,止,過委,kʉɪ˨˦ 'x,küḯ,guei3,詭垝䣀(陒)攱䤥詭觤恑蛫祪庪䃽庋洈蟡𪀗姽桅佹,,kʉɪ˨˦ 'x,küḯ,19,紙,
1259,上5旨,見,三,合,脂B,上,止,居洧,kʉi˨˦ 'x,küí,guei3,軌簋朹晷厬𣷾宄匭㔲頯氿𧗝,,kʉi˨˦ 'x,küí,12,紙,
1271,上5旨,見,三,合,脂A,上,止,居誄,kyi˨˦ 'x,kví,guei3,癸湀,,kyi˨˦ 'x,kví,2,紙,
1268,上5旨,群,三,合,脂A,上,止,求癸,gyi˨˦ 'x,gví,guei4,揆楑𢜽嫢湀,,gyi˨˦ 'x,gví,5,紙,
2158,去5寘,見,三,合,支B,去,止,詭僞,kʉɪ˧˩ 'h,küï̀,guei4,䞈垝㩻攱𢈌,,kʉɪ˧˩ 'h,küï̀,5,寘,
2193,去5寘,見,三,合,支A,去,止,規恚,kyɪ˧˩ 'h,kvï̀,guei4,瞡,,kyɪ˧˩ 'h,kvï̀,1,寘,
2205,去6至,群,三,合,脂B,去,止,求位,gʉi˧˩ 'h,güì,guei4,匱蕢臾(𠀐)饋餽𦆠櫃樻鞼簣𩌃,,gʉi˧˩ 'h,güì,11,寘,
2208,去6至,見,三,合,脂B,去,止,俱位,kʉi˧˩ 'h,küì,guei4,愧媿聭謉騩䁛餽螝頍,,kʉi˧˩ 'h,küì,6,寘,
2224,去6至,群,三,合,脂A,去,止,其季,gyi˧˩ 'h,gvì,guei4,悸𠊾猤𡬄痵,,gyi˧˩ 'h,gvì,5,寘,
2232,去6至,見,三,合,脂A,去,止,居悸,kyi˧˩ 'h,kvì,guei4,季瞡,,kyi˧˩ 'h,kvì,2,寘,
2276,去8未,見,三,合,微,去,止,居胃,kʉəi˧˩ 'h,küë̀i,guei4,貴瞶𠐽,,kʉəi˧˩ 'h,küë̀i,3,未,
1244,上4紙,群,三,合,支B,上,止,渠委,gʉɪ˨˦ 'x,güḯ,guei4,跪,,gʉɪ˨˦ 'x,güḯ,1,紙,
1283,上5旨,群,三,合,脂B,上,止,曁軌,gʉi˨˦ 'x,güí,guei4,䣀,,gʉi˨˦ 'x,güí,1,紙,
2517,去18隊,見,一,合,灰,去,蟹,古對,kuɒi˧˩ 'h,kuö̀i,guei4,憒幗刏慖䵋䐴簂䈐𪏤蔮,,kuɒi˧˩ 'h,kuö̀i,10,隊,
2547,去20廢,群,三,合,廢,去,蟹,渠穢,gʉɒj˧˩ 'h,güö̀j,guei4,𤜂,,gʉɒj˧˩ 'h,güö̀j,1,隊,
2376,去12霽,見,四,合,齊,去,蟹,古惠,kyɛi˧˩ 'h,kvèi,guei4,桂昋炅炔筀罣𤰮𣧎䳏,,kyɛi˧˩ 'h,kvèi,9,霽,
2397,去13祭,見,三,合,祭B,去,蟹,居衛,kʉɛj˧˩ 'h,küèj,guei4,劌鱖𠜾𨇙蹶𤜂,,kʉɛj˧˩ 'h,küèj,6,霽,
2433,去14泰,見,一,合,泰,去,蟹,古外,kuaj˧˩ 'h,kuàj,guei4,儈膾鱠襘禬檜旝巜澮鄶廥䯤鬠劊會䐴𢶒獪,,kuaj˧˩ 'h,kuàj,18,泰,
484,上平23魂,見,一,合,魂,平,臻,古渾,kuon˧˧,kuon,guen1,昆晜𥊽菎㡓(𢃭)褌崐琨鵾鶤鯤䖵蜫惃㱎錕瑻𪋆猑騉,,kuon˧˧,kuon,20,元,
867,下平12庚,見,二,合,庚,平,梗,古橫,kʯæŋ˧˧,kwäng,guen1,觵觥侊𩃙䍔𣘯,,kʯæŋ˧˧,kwäng,6,庚,
1866,上38梗,見,二,合,庚,上,梗,古猛,kʯæŋ˨˦ 'x,kwä́ng,guen3,礦鑛𨥥𪍿䵃獷穬,,kʯæŋ˨˦ 'x,kwä́ng,7,梗,
1539,上21混,見,一,合,魂,上,臻,古本,kuon˨˦ 'x,kúon,guen3,𩩌𧞢衮(袞)緄鯀輥緷蓘惃丨䃂錕滾,,kuon˨˦ 'x,kúon,12,阮,
2618,去26慁,見,一,合,魂,去,臻,古困,kuon˧˩ 'h,kùon,guen4,睔睴琯璭㴫𧬪謴棍,,kuon˧˩ 'h,kùon,7,願,
520,上平25寒,曉,一,開,寒,平,山,許干,xan˧˧,han,hang1,頇鼾,,xan˧˧,han,2,寒,
1083,下平22覃,曉,一,開,覃,平,咸,火含,xɒm˧˧,höm,hang1,㟏𩈣馠𣢺唅𡬖𡪶谽,,xɒm˧˧,höm,8,覃,
1098,下平23談,曉,一,開,談,平,咸,呼談,xam˧˧,ham,hang1,蚶𧵊嬜歛憨,,xam˧˧,ham,5,覃,
851,下平11唐,曉,一,開,唐,平,宕,呼郎,xaŋ˧˧,hang,hang1,炕㰠忼䐠,,xaŋ˧˧,hang,4,陽,
507,上平25寒,匣,一,開,寒,平,山,胡安,ɣan˧˧,xan,hang2,寒𩏑韓𦺦翰鶾邯邗虷汗𧃙䮧,,ɣan˧˧,xan,12,寒,
1076,下平22覃,匣,一,開,覃,平,咸,胡男,ɣɒm˧˧,xöm,hang2,含涵䈄筨梒䤴函顄蜬頷𣹢鋡𤭙𠥴䶃圅肣䨡𢎘𠗴晗,,ɣɒm˧˧,xöm,20,覃,
1095,下平23談,匣,一,開,談,平,咸,胡甘,ɣam˧˧,xam,hang2,酣甝䗣魽𤯎煔炶邯,,ɣam˧˧,xam,8,覃,
852,下平11唐,匣,一,開,唐,平,宕,胡郎,ɣaŋ˧˧,xang,hang2,航筕桁行迒𨁈頏𦐄魧胻邟杭沆蚢肮苀抗吭,,ɣaŋ˧˧,xang,18,陽,
2019,上48感,曉,一,開,覃,上,咸,呼唵,xɒm˨˦ 'x,hö́m,hang3,䫲,,xɒm˨˦ 'x,hö́m,1,感,
2030,上49敢,曉,一,開,談,上,咸,呼覽,xam˨˦ 'x,hám,hang3,喊嚂𡒓㯺,,xam˨˦ 'x,hám,4,感,
1559,上23旱,曉,一,開,寒,上,山,呼旱,xan˨˦ 'x,hán,hang3,罕(䍐)蔊厂灘暵焊熯,,xan˨˦ 'x,hán,7,旱,
1853,上37蕩,曉,一,開,唐,上,宕,呼朗,xaŋ˨˦ 'x,háng,hang3,汻酐𤰟,,xaŋ˨˦ 'x,háng,3,養,
3104,去53勘,匣,一,開,覃,去,咸,胡紺,ɣɒm˧˩ 'h,xö̀m,hang4,憾琀浛唅蜭莟䐄,,ɣɒm˧˩ 'h,xö̀m,7,勘,
3114,去53勘,曉,一,開,覃,去,咸,呼紺,xɒm˧˩ 'h,hö̀m,hang4,䫲𩞿,,xɒm˧˩ 'h,hö̀m,2,勘,
3120,去54闞,曉,一,開,談,去,咸,呼濫,xam˧˩ 'h,hàm,hang4,𧵊蘫䖔,,xam˧˩ 'h,hàm,3,勘,
3121,去54闞,匣,一,開,談,去,咸,下瞰,ɣam˧˩ 'h,xàm,hang4,憨㺖譀䗣䐄𤎡,,ɣam˧˩ 'h,xàm,6,勘,
2016,上48感,匣,一,開,覃,上,咸,胡感,ɣɒm˨˦ 'x,xö́m,hang4,頷頜𡣊撼淊菡欿蜭涵肣𢎘𢇞𢃗莟顄𡻡,,ɣɒm˨˦ 'x,xö́m,16,感,
1550,上23旱,匣,一,開,寒,上,山,胡笴,ɣan˨˦ 'x,xán,hang4,旱𡷛皔䓍䛞,,ɣan˨˦ 'x,xán,5,旱,
2925,去42宕,匣,一,開,唐,去,宕,下浪,ɣaŋ˧˩ 'h,xàng,hang4,吭行笐,,ɣaŋ˧˩ 'h,xàng,3,漾,
2632,去28翰,匣,一,開,寒,去,山,侯旰,ɣan˧˩ 'h,xàn,hang4,汗翰捍扞鼾螒垾豻釬悍瀚閈𤿧駻雗䮧馯𧃙䏷忓㢨矸㲦㪋𩹼,,ɣan˧˩ 'h,xàn,25,翰,
2640,去28翰,曉,一,開,寒,去,山,呼旰,xan˧˩ 'h,hàn,hang4,漢暵𤳉熯䍐(罕)𡅻𤅩䎯厂,,xan˧˩ 'h,hàn,9,翰,
1838,上37蕩,匣,一,開,唐,上,宕,胡朗,ɣaŋ˨˦ 'x,xáng,hang4,沆骯䟘𡕬蚢吭,,ɣaŋ˨˦ 'x,xáng,6,養,
709,下平6豪,曉,一,開,豪,平,效,呼毛,xau˧˧,hau,hao1,蒿𧯌撓薧薅茠𣐾,,xau˧˧,hau,7,豪,
706,下平6豪,匣,一,開,豪,平,效,胡刀,ɣau˧˧,xau,hao2,豪號毫噑(嗥嚎)獋(獆)濠壕𩕍(䫧)𣘫崤𨚙𠢕𨼍蠔,,ɣau˧˧,xau,13,豪,
1725,上32晧,曉,一,開,豪,上,效,呼晧,xau˨˦ 'x,háu,hao3,好𡚽,,xau˨˦ 'x,háu,2,晧,
2806,去37号,匣,一,開,豪,去,效,胡到,ɣau˧˩ 'h,xàu,hao4,号號𤩭㙱𧬁𡠖,,ɣau˧˩ 'h,xàu,6,号,
2821,去37号,曉,一,開,豪,去,效,呼到,xau˧˩ 'h,hàu,hao4,耗秏好𡚽𡥆藃,,xau˧˩ 'h,hàu,4,号,
1713,上32晧,匣,一,開,豪,上,效,胡老,ɣau˨˦ 'x,xáu,hao4,晧(皓)昊昦暭鎬浩顥灝鰝夰薃鄗𨛴𧇼𥢑滈,,ɣau˨˦ 'x,xáu,16,晧,
383,上平16咍,曉,一,開,咍,平,蟹,呼來,xɒi˧˧,höi,hä1,咍㾂𨸜,,xɒi˧˧,höi,3,灰,
394,上平16咍,匣,一,開,咍,平,蟹,戸來,ɣɒi˧˧,xöi,hä2,孩咳頦㨟䱺𧻲豥䠽,,ɣɒi˧˧,xöi,8,灰,
1445,上15海,曉,一,開,咍,上,蟹,呼改,xɒi˨˦ 'x,hö́i,hä3,海醢橀,,xɒi˨˦ 'x,hö́i,3,賄,
2427,去14泰,匣,一,開,泰,去,蟹,胡蓋,ɣaj˧˩ 'h,xàj,hä4,害𡕗妎𢞐,,ɣaj˧˩ 'h,xàj,4,泰,
2448,去14泰,曉,一,開,泰,去,蟹,呼艾,xaj˧˩ 'h,hàj,hä4,餀𤵽𩹄𦤦㺔,,xaj˧˩ 'h,hàj,5,泰,
1451,上15海,匣,一,開,咍,上,蟹,胡改,ɣɒi˨˦ 'x,xö́i,hä4,亥侅㧡𥩲氦,,ɣɒi˨˦ 'x,xö́i,4,賄,
2535,去19代,匣,一,開,咍,去,蟹,胡概,ɣɒi˧˩ 'h,xö̀i,hä4,瀣㤥劾,,ɣɒi˧˩ 'h,xö̀i,3,隊,
2541,去19代,曉,一,開,咍,去,蟹,海愛,xɒi˧˩ 'h,hö̀i,hä4,儗,,xɒi˧˩ 'h,hö̀i,1,隊,
3728,入25德,曉,一,開,登,入,曾,呼北,xək˥,hëk,hä5,黑嘿潶㱄,,xək˥,hëk,3,職,
3737,入25德,匣,一,開,登,入,曾,胡得,ɣək˥,xëk,hä5,劾,,ɣək˥,xëk,1,職,
3614,入20陌,曉,二,開,庚,入,梗,呼格,xʅæk˥,hräk,hä5,赫爀嚇𥋿𢅰,,xʅæk˥,hräk,5,陌,
3615,入20陌,匣,二,開,庚,入,梗,胡格,ɣʅæk˥,xräk,hä5,垎䞦楁𨍇,,ɣʅæk˥,xräk,4,陌,
3635,入21麥,匣,二,開,耕,入,梗,下革,ɣʅɛk˥,xrek,hä5,覈繳䃒翮㮝核𤈧滆蒚,,ɣʅɛk˥,xrek,9,陌,
869,下平12庚,曉,二,開,庚,平,梗,許庚,xʅæŋ˧˧,hräng,hen1,脝悙亨哼啈,,xʅæŋ˧˧,hräng,3,庚,
502,上平24痕,匣,一,開,痕,平,臻,戸恩,ɣon˧˧,xon,hen2,痕鞎拫㯊,,ɣon˧˧,xon,4,元,
887,下平12庚,匣,二,開,庚,平,梗,戸庚,ɣʅæŋ˧˧,xräng,hen2,行衡䯒胻洐筕珩桁蘅𦣍,,ɣʅæŋ˧˧,xräng,10,庚,
982,下平17登,匣,一,開,登,平,曾,胡登,ɣəŋ˧˧,xëng,hen2,恒𢛢峘,,ɣəŋ˧˧,xëng,3,蒸,
1547,上22很,匣,一,開,痕,上,臻,胡墾,ɣon˨˦ 'x,xón,hen4,很狠,,ɣon˨˦ 'x,xón,2,阮,
2955,去43映,匣,二,開,庚,去,梗,下更,ɣʅæŋ˧˩ 'h,xrä̀ng,hen4,行絎胻,,ɣʅæŋ˧˩ 'h,xrä̀ng,3,敬,
2965,去43映,曉,二,開,庚,去,梗,許更,xʅæŋ˧˩ 'h,hrä̀ng,hen4,䛭,,xʅæŋ˧˩ 'h,hrä̀ng,1,敬,
2628,去27恨,匣,一,開,痕,去,臻,胡艮,ɣon˧˩ 'h,xòn,hen4,恨,,ɣon˧˩ 'h,xòn,1,願,
